"What are the 3 main Scrum artifacts?","product backlog,sprint backlog,burndown"
"What are the 3 main Scrum roles?","product owner,scrum master,team"
"What are the 3 main Scrum cerimonies?","sprint planning,daily scrum,sprint retrospective"
"Y/N - The Sprint retrospective is all about continuous improvement.","Y"
"Y/N - Stackholders should participate in sprint retrospectives.","N"
"Y/N - Stackholders should not participate in sprint retrospectives, only the team.","Y"
"Y/N - A daily scrum is like a status meeting.","N"
"Y/N - A daily scrum is not like a status meeting.","Y"
"imagem scrum master","scrum master"
"",""
